Year,Inflation,Short_rate,Long_Rate,Dividend_Yield,Equity_Yield,SP500,VIX
1946,0.166631341,0.0012,0.0261,0.046405229,-0.126315881,17.07,NA
1947,0.084683087,0.0022,0.0286,0.054901961,0,15.15,NA
1948,0.029475818,0.0028,0.0279,0.061184211,-0.006557401,15.51,NA
1949,-0.020965128,0.0029,0.0258,0.107206671,0.099488043,15.24,NA
1950,0.057629113,0.0062,0.0267,0.080274107,0.196220938,18.39,NA
1951,0.058268908,0.0066,0.0301,0.059318469,0.151419873,22.32,NA
1952,0.007518832,0.0067,0.0297,0.053067369,0.111358478,24.45,NA
1953,0.007462721,0.0094,0.0313,0.058444176,-0.068535962,24.72,NA
1954,-0.007462721,0.0158,0.029,0.042801556,0.371716431,29.72,NA
1955,0.003738322,0.0179,0.0315,0.036059807,0.23430944,40.5,NA
1956,0.029413885,0.0273,0.0375,0.037283051,0.025828891,46.64,NA
1957,0.028573372,0.0311,0.0381,0.04476119,-0.154472137,44.42,NA
1958,0.01745245,0.0157,0.0408,0.031697156,0.322514673,46.2,NA
1959,0.017153079,0.0331,0.0458,0.030556019,0.08136545,57.42,NA
1960,0.013513719,0.0321,0.0435,0.033557047,-0.03017178,55.85,NA
1961,0.006688988,0.0195,0.0442,0.028232006,0.20805874,66.27,NA
1962,0.013245227,0.0271,0.0424,0.033755943,-0.125675736,62.32,NA
1963,0.016313575,0.0318,0.0435,0.030391895,0.173033975,69.86,NA
1964,0.009661911,0.035,0.0444,0.029498525,0.121951002,81.37,NA
1965,0.019048195,0.0408,0.0468,0.029427675,0.086745855,88.16,NA
1966,0.034006368,0.0511,0.0539,0.035727624,-0.140308451,85.18,NA
1967,0.029942357,0.0422,0.0619,0.030268477,0.183088929,91.96,NA
1968,0.046117682,0.0566,0.0645,0.029559022,0.073811759,98.38,NA
1969,0.060127398,0.0821,0.0772,0.03432544,-0.1206033,97.77,NA
1970,0.054206818,0.0717,0.0764,0.033966359,0.000977146,83.15,NA
1971,0.032141209,0.0467,0.0725,0.030071506,0.102437093,98.32,NA
1972,0.033495954,0.0444,0.0708,0.026683609,0.145253486,109.13,NA
1973,0.083475722,0.0874,0.0768,0.034648898,-0.190743196,107.44,NA
1974,0.116338992,0.1051,0.0889,0.052508751,-0.352655793,82.78,NA
1975,0.067064231,0.0582,0.0879,0.04080275,0.274209282,86.18,NA
1976,0.047502334,0.0505,0.0798,0.037688442,0.175200129,102.04,NA
1977,0.064860634,0.0554,0.0819,0.049106204,-0.122189716,98.18,NA
1978,0.086340191,0.0794,0.0916,0.052752055,0.010564399,96.11,NA
1979,0.124815528,0.112,0.1074,0.052343895,0.116082148,103,NA
1980,0.11792789,0.1335,0.1321,0.045668827,0.229313104,118.71,NA
1981,0.085465184,0.1639,0.1423,0.054100367,-0.102369511,128.04,NA
1982,0.037582711,0.1224,0.1183,0.048848123,0.137684324,119.71,NA
1983,0.037208918,0.0909,0.1258,0.042987934,0.159317708,160.47,NA
1984,0.038727008,0.1023,0.1213,0.045025114,0.013908765,160.46,NA
1985,0.037282976,0.081,0.1016,0.037343809,0.233754362,186.83,NA
1986,0.010919126,0.068,0.0849,0.034190858,0.136455691,236.39,NA
1987,0.043388833,0.0666,0.1011,0.035656468,0.020072212,287,NA
1988,0.043245399,0.0757,0.0957,0.035089299,0.116901241,265.88,NA
1989,0.04542549,0.0921,0.0886,0.031177136,0.240987148,323.05,NA
1990,0.059270905,0.081,0.0906,0.035786149,-0.067841461,334.63,0.230634783
1991,0.030182637,0.0569,0.0831,0.028785404,0.233542927,376.19,0.18373373
1992,0.028593799,0.0352,0.0798,0.028452489,0.043674859,415.75,0.154520472
1993,0.027113235,0.0302,0.0693,0.026846309,0.068173949,451.61,0.126862451
1994,0.026397472,0.0421,0.0846,0.028559939,-0.015512561,460.42,0.139255159
1995,0.025067276,0.0583,0.0682,0.022154164,0.293495048,541.72,0.123887698
1996,0.032684742,0.053,0.072,0.019738023,0.184516366,670.49,0.164421654
1997,0.016880676,0.0546,0.0677,0.015704503,0.270089586,873.43,0.223639841
1998,0.015990501,0.0535,0.0622,0.012976779,0.236403964,1085.5,0.256029762
1999,0.026491615,0.0497,0.0755,0.01132138,0.178364109,1327.33,0.243729762
2000,0.033307198,0.0624,0.0722,0.012362447,-0.106908231,1427.22,0.23315
2001,0.01539808,0.0388,0.0677,0.013670478,-0.139752853,1192.57,0.257496774
2002,0.023491013,0.0167,0.0621,0.018323117,-0.26612892,993.93,0.272924603
2003,0.018620472,0.0113,0.0562,0.015497489,0.234126189,965.23,0.219828571
2004,0.03203691,0.0135,0.0547,0.015988039,0.086117628,1130.65,0.154796443
2005,0.03358621,0.0322,0.0537,0.017754271,0.029568736,1207.23,0.128070635
2006,0.025089123,0.0497,0.0532,0.017397522,0.127684357,1310.46,0.128065339
2007,0.040001837,0.0502,0.0549,0.019593158,0.03468716,1477.18,0.175359363
2008,0.000913711,0.0192,0.0505,0.031396707,-0.485902041,1220.04,0.326955336
2009,0.026849613,0.0016,0.0526,0.019975708,0.210699996,948.05,0.314790079
2010,0.014846479,0.0018,0.0501,0.018030793,0.120292862,1139.97,0.225488889
2011,0.02919387,1.00E-03,0.0393,0.020951162,-3.18E-05,1267.64,0.242025794
2012,0.017260402,0.0014,0.0365,0.021821204,0.12580141,1379.61,0.1780164
2013,0.014905712,0.0011,0.0462,0.018829712,0.259292206,1643.8,0.142301191
2014,0.007536462,0.0009,0.0379,0.019072239,0.1078731,1931.38,0.141759921
2015,0.007268717,0.0013,0.0397,0.021135977,-0.007292542,2061.07,0.166740873
2016,0.020533949,0.0039,0.0406,0.020345242,0.09107409,2094.65,0.158256349
